smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
CC=C(C)C(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,14,441,0.725,0.725,0.0008919239044189453,
CCC1CC1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,34,704,0.7341772151898734,0.7341772151898734,0.0008502006530761719,
C=C=C1Cc2c1c1c2c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c41,0,0,0.7228915662650602,0.7228915662650602,0.0007677078247070312,
Cc1cccc2c1c1c3ccc4ccc5ccc(cc3)c1c5c42,6,736,0.7297297297297297,0.7297297297297297,0.0007417201995849609,
C=c1c2ccc3ccc4ccc1c1c4c3c3c4ccc(cc4)c3c21,6,533,0.7236842105263158,0.7236842105263158,0.0009436607360839844,
C1#CC(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1,2,773,0.7631578947368421,0.7631578947368421,0.0008378028869628906,
C#CC=c1c2c1c1c3c4ccc5ccc(cc4)c(c4c6ccc(cc6)c4c53)c21,0,1,0.7228915662650602,0.7228915662650602,0.0009875297546386719,
Cc1c2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,2,941,0.7866666666666666,0.7866666666666666,0.0007178783416748047,
CC1=C2c3c(c4c3c3c5ccc6ccc(cc5)c3c3c5ccc(cc5)c3c64)C12,0,0,0.7228915662650602,0.7228915662650602,0.0007719993591308594,
C=Cc1c2c3cccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,6,202,0.7466666666666667,0.7466666666666667,0.0007891654968261719,
C#CCC(C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,0,0.7160493827160493,0.7160493827160493,0.0007894039154052734,
C=Cc1c2cccc3ccc4ccc(cc2)c2c1c3c4c1c3ccc(cc3)c21,1,174,0.7228915662650602,0.7228915662650602,0.0009598731994628906,
c1cc2ccc3ccc1c1c4c5c(c4c2c2c4ccc(cc4)c2c31)C1CC51,1,7,0.7407407407407407,0.7407407407407407,0.0008940696716308594,
CCc1cc2ccc3ccc4ccc1c1c5c6ccc(cc6)c5c2c3c41,35,869,0.7341772151898734,0.7341772151898734,0.0009233951568603516,
C1=CC(C=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C=1,37,610,0.7341772151898734,0.7341772151898734,0.0008280277252197266,
C=CC(C1=CC1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,0,0.7160493827160493,0.7160493827160493,0.0008792877197265625,
CC12C3=C1C2C3=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,4,387,0.725,0.725,0.0009148120880126953,
C=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,722,0.8285714285714286,0.8285714285714286,0.000705718994140625,
CC(=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1CC1,7,754,0.7435897435897436,0.7435897435897436,0.0008687973022460938,
CC(C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,761,0.7733333333333333,0.7733333333333333,0.0008103847503662109,
Cc1c(C2=C=C2)c2c1c1c3ccc4ccc(cc3)c(c42)c2c3ccc(cc3)c12,0,13,0.7317073170731707,0.7317073170731707,0.0008275508880615234,
C#Cc1cc2c1c1c3ccc4ccc(cc3)c(c42)c2c3ccc(cc3)c12,0,15,0.7564102564102564,0.7564102564102564,0.00072479248046875,
CC1=Cc2c(c3c2c2c4ccc5ccc(cc4)c(c53)c3c4ccc(cc4)c23)C1,0,5,0.7228915662650602,0.7228915662650602,0.00086212158203125,
CCC=CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,32,709,0.7341772151898734,0.7341772151898734,0.0008263587951660156,
Cc1c(C2=CC2)c2c1c1c3ccc4ccc(cc3)c1c1c3ccc(cc3)c1c42,0,8,0.7317073170731707,0.7317073170731707,0.0008146762847900391,
C#CC1(C)c2c1c1c2c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c41,0,14,0.7317073170731707,0.7317073170731707,0.0008695125579833984,
c1cc2ccc3ccc4ccc5ccc6c1ccc1c3c4c2c6c51,0,20,0.7368421052631579,0.7368421052631579,0.0007662773132324219,
C(=C1C=CC1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,35,634,0.7341772151898734,0.7341772151898734,0.0008466243743896484,
C=c1c2c1c1c3c4ccc5ccc(cc4)c(c4c6ccc(cc6)c4c53)c21,0,19,0.7792207792207793,0.7792207792207793,0.0009069442749023438,
