smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
c1cc2cc3c2cccc2c4ccc5cccc(c1)c(c52)c34,1,194,0.7027027027027027,0.7027027027027027,0.0006213188171386719,
c1cc2cccc3c4cccc5c(cccc4c1)c3c5c2=C1CC1,2,121,0.7236842105263158,0.7236842105263158,0.0006136894226074219,
C(=C1C=C1)=c1c2cccc3cccc1c1c4cccc2cccc4c31,1,74,0.6962025316455697,0.6962025316455697,0.0006737709045410156,
c1ccc2c(cc1)c1c3cc4cccc(cccc43)c21,9,313,0.6901408450704225,0.6901408450704225,0.0005161762237548828,
CCC=c1c2cccc3cccc4c5cccc(cccc35)c1c24,0,2,0.7012987012987013,0.7012987012987013,0.0005981922149658203,
C=c1c2cccc3c4cccc5cccc4c3c(ccc2)c15,0,70,0.7857142857142857,0.7857142857142857,0.0005488395690917969,
CC1=CC1=c1c2cccc3cccc4c5cccc3c(ccc2)c4c15,5,125,0.7051282051282052,0.7051282051282052,0.000621795654296875,
Cc1cccc2cccc3c4cccc5cccc4c3c(C)c5c12,5,238,0.7105263157894737,0.7105263157894737,0.00063323974609375,
C=CC=c1c2cccc3c4cccc5cccc4c3c(ccc2)c15,6,94,0.7236842105263158,0.7236842105263158,0.0006258487701416016,
c1cc2cccc3c4cccc(c2c1)c1cccc2ccc2c4c13,28,430,0.6923076923076923,0.6923076923076923,0.0006768703460693359,
CC(C)=c1c2ccccc3c4cccc5ccc(cccc2c14)c53,1,68,0.6883116883116883,0.6883116883116883,0.0005753040313720703,
C=CC=c1c2c3cccc4c(cccc5cccc52)c1c4ccc3,13,260,0.7236842105263158,0.7236842105263158,0.0006258487701416016,
Cc1c2cccc3c4c5cccc(c2)c1c5c1cccc-4c3ccc1,1,43,0.6962025316455697,0.6962025316455697,0.00067901611328125,
c1cc2c3cccc4c2c2cccc5c(ccc2)c4c5c3c1,0,39,0.7746478873239436,0.7746478873239436,0.0007200241088867188,
c1ccc2cccc3c4cccc5c3cc4cccc(c1)c25,2,20,0.7027027027027027,0.7027027027027027,0.0005519390106201172,
C=c1cccc2cccc3c4cccc5cccc4c3c2c15,0,9,0.7605633802816901,0.7605633802816901,0.0005450248718261719,
CCCc1c2cccc3cccc4c(ccccc5cccc3c54)c12,0,8,0.6962025316455697,0.6962025316455697,0.0005848407745361328,
CC(C)=c1c2c3cccc4cccc4c3cccc3cccc-2c13,1,40,0.7105263157894737,0.7105263157894737,0.0005710124969482422,
Cc1cc2c3cccc4cccc1c1cccc5c(cccc1c42)c35,0,8,0.6962025316455697,0.6962025316455697,0.0006747245788574219,
Cc1cccc2ccccc3c4cccc5cccc4c3c1c25,8,309,0.7066666666666667,0.7066666666666667,0.0005695819854736328,
c1cc2c3cccc(c1)c1c4ccccc1c-2c3cc4,3,221,0.7647058823529411,0.7647058823529411,0.0005216598510742188,
CCc1cc2c3cccc4cccc1c2c1cccc2c(ccc1)c3c42,3,156,0.7341772151898734,0.7341772151898734,0.0006825923919677734,
C1=CC1=c1c2cccc3cccc4c5cccc3c(ccc2)c4c15,1,87,0.7236842105263158,0.7236842105263158,0.0005917549133300781,
c1cccc2c3c(cc1)ccccc1c4cccc3cccc4c12,5,83,0.6923076923076923,0.6923076923076923,0.0006508827209472656,
